Year;Month;Power Source;Total Investment (rmb x 100 million yuan);Cumulative YOY Growth
2012;7;Nuclear;378.0;
2017;6;Coal;312.693437;-17.431842833360502
2017;4;Wind;91.354766;-36.3690215867994
2017;6;Hydro;214.222077;-5.50445046035476
2016;12;Hydro;612.464964;-22.3870154656503
2011;11;All;3093.0;
2018;2;Wind;43.0;15.7
2013;8;Nuclear;347.0;
2016;5;Wind;189.0;-29.6363889751
2015;4;All;763.0;16.1
2013;7;All;1805.0;
2017;6;Nuclear;183.021816;-15.990953662222873
2016;9;Nuclear;329.0;-1.37882871677
2011;7;Nuclear;381.0;
2018;4;Hydro;154.0;14.4
2013;5;Hydro;454.0;
2015;2;Nuclear;55.0;-10.3
2009;7;All;3552.0;
2018;3;Nuclear;127.0;61.1
2014;2;Nuclear;61.0;
2018;9;All;1696.0;-1.8
2018;10;All;1919.0;-2.9
2012;9;Coal;631.0;
2011;5;All;1166.0;
2013;6;Nuclear;263.0;
2010;6;Coal;500.0;
2010;10;Wind;640.0;
2012;4;Wind;132.0;
2016;8;Nuclear;287.0;1.55582559012
2016;8;Wind;383.0;-32.8501070684
2016;7;All;1453.0;-8.365093169
2014;5;Wind;182.0;
2010;12;Nuclear;629.0;
2011;2;All;367.0;
2016;9;Hydro;353.0;-20.4585426971
2012;12;Nuclear;778.0;1.8
2017;9;Hydro;339.4205;-4.05688837539403
2013;9;Wind;331.0;
2010;4;Coal;286.0;
2018;7;Hydro;299.0;17.9
2018;3;Hydro;105.0;14.1
2012;12;Coal;1014.0;-10.5
2017;8;Wind;327.7554;-14.5485903359482
2015;3;Coal;157.0;12.3
2012;11;Nuclear;650.0;
2015;2;Wind;85.0;192.4
2010;9;Wind;534.0;
2015;8;Wind;1014.0;
2011;6;Hydro;379.0;
2013;2;Nuclear;72.0;
2012;5;All;1143.0;
2016;9;Wind;462.0;-29.2217144303
2009;8;Coal;710.0;
2016;6;Hydro;226.0;-17.9429193611
2010;9;Hydro;466.0;
2010;8;Nuclear;359.0;
2012;10;All;2676.0;
2018;7;All;1238.0;-1.4
2018;9;Hydro;404.0;19.0
2018;10;Coal;575.0;0.4
2010;4;Nuclear;156.0;
2012;7;Hydro;626.0;
2011;3;Wind;91.0;
2010;5;Coal;386.0;
2009;9;Nuclear;374.0;
2011;3;Coal;207.0;
2011;12;Nuclear;740.0;0.14
2013;11;Nuclear;525.0;
2014;9;Coal;574.0;
2009;9;Coal;832.0;
2014;12;Hydro;960.0;-21.5
2012;8;All;1987.0;
2016;10;All;2388.057651;-8.12595202544524
2016;11;Coal;928.08653;-5.29841168876476
2016;12;All;3428.966233;-12.887135867008
2017;3;Hydro;91.57264;-13.2234010929708
2017;5;Hydro;168.084014;-5.75423650186383
2017;11;Hydro;492.116;2.08591121179747
2010;10;Hydro;563.0;
2012;2;Coal;79.0;
2011;5;Hydro;305.0;
2016;4;Hydro;139.0;-19.4277815196
2012;10;Coal;717.0;
2009;12;All;3711.0;
2018;8;Wind;258.0;-21.2
2012;8;Hydro;728.0;
2011;6;All;1501.0;
2010;5;All;1020.0;
